"","x"
"1","interneurons"
"2","interneurons"
"3","interneurons"
"4","interneurons"
"5","interneurons"
"6","interneurons"
"7","interneurons"
"8","interneurons"
"9","interneurons"
"10","interneurons"
"11","interneurons"
"12","interneurons"
"13","interneurons"
"14","interneurons"
"15","interneurons"
"16","interneurons"
"17","interneurons"
"18","interneurons"
"19","interneurons"
"20","interneurons"
"21","interneurons"
"22","interneurons"
"23","interneurons"
"24","interneurons"
"25","interneurons"
"26","interneurons"
"27","interneurons"
"28","interneurons"
"29","interneurons"
"30","interneurons"
"31","interneurons"
"32","interneurons"
"33","interneurons"
"34","interneurons"
"35","interneurons"
"36","interneurons"
"37","interneurons"
"38","interneurons"
"39","interneurons"
"40","interneurons"
"41","interneurons"
"42","interneurons"
"43","interneurons"
"44","interneurons"
"45","interneurons"
"46","interneurons"
"47","interneurons"
"48","interneurons"
"49","interneurons"
"50","interneurons"
"51","interneurons"
"52","interneurons"
"53","interneurons"
"54","interneurons"
"55","interneurons"
"56","interneurons"
"57","interneurons"
"58","interneurons"
"59","interneurons"
"60","interneurons"
"61","interneurons"
"62","interneurons"
"63","interneurons"
"64","interneurons"
"65","interneurons"
"66","interneurons"
"67","interneurons"
"68","interneurons"
"69","interneurons"
"70","interneurons"
"71","interneurons"
"72","interneurons"
"73","interneurons"
"74","interneurons"
"75","interneurons"
"76","interneurons"
"77","interneurons"
"78","interneurons"
"79","interneurons"
"80","interneurons"
"81","interneurons"
"82","interneurons"
"83","interneurons"
"84","interneurons"
"85","interneurons"
"86","interneurons"
"87","interneurons"
"88","interneurons"
"89","interneurons"
"90","interneurons"
"91","interneurons"
"92","interneurons"
"93","interneurons"
"94","interneurons"
"95","interneurons"
"96","interneurons"
"97","interneurons"
"98","interneurons"
"99","interneurons"
"100","interneurons"
"101","interneurons"
"102","interneurons"
"103","interneurons"
"104","interneurons"
"105","interneurons"
"106","interneurons"
"107","interneurons"
"108","interneurons"
"109","interneurons"
"110","interneurons"
"111","interneurons"
"112","interneurons"
"113","interneurons"
"114","interneurons"
"115","interneurons"
"116","interneurons"
"117","interneurons"
"118","interneurons"
"119","interneurons"
"120","interneurons"
"121","interneurons"
"122","interneurons"
"123","interneurons"
"124","interneurons"
"125","interneurons"
"126","interneurons"
"127","interneurons"
"128","interneurons"
"129","interneurons"
"130","interneurons"
"131","interneurons"
"132","interneurons"
"133","interneurons"
"134","interneurons"
"135","interneurons"
"136","interneurons"
"137","interneurons"
"138","interneurons"
"139","interneurons"
"140","interneurons"
"141","interneurons"
"142","interneurons"
"143","interneurons"
"144","interneurons"
"145","interneurons"
"146","interneurons"
"147","interneurons"
"148","interneurons"
"149","interneurons"
"150","interneurons"
"151","interneurons"
"152","interneurons"
"153","interneurons"
"154","interneurons"
"155","interneurons"
"156","interneurons"
"157","interneurons"
"158","interneurons"
"159","interneurons"
"160","interneurons"
"161","interneurons"
"162","interneurons"
"163","interneurons"
"164","interneurons"
"165","interneurons"
"166","interneurons"
"167","interneurons"
"168","interneurons"
"169","interneurons"
"170","interneurons"
"171","interneurons"
"172","interneurons"
"173","interneurons"
"174","interneurons"
"175","interneurons"
"176","interneurons"
"177","interneurons"
"178","interneurons"
"179","interneurons"
"180","interneurons"
"181","interneurons"
"182","interneurons"
"183","interneurons"
"184","interneurons"
"185","interneurons"
"186","interneurons"
"187","interneurons"
"188","interneurons"
"189","interneurons"
"190","interneurons"
"191","interneurons"
"192","interneurons"
"193","interneurons"
"194","interneurons"
"195","interneurons"
"196","interneurons"
"197","interneurons"
"198","interneurons"
"199","interneurons"
"200","interneurons"
"201","interneurons"
"202","interneurons"
"203","interneurons"
"204","interneurons"
"205","interneurons"
"206","interneurons"
"207","interneurons"
"208","interneurons"
"209","interneurons"
"210","interneurons"
"211","interneurons"
"212","interneurons"
"213","interneurons"
"214","interneurons"
"215","interneurons"
"216","interneurons"
"217","interneurons"
"218","interneurons"
"219","interneurons"
"220","interneurons"
"221","interneurons"
"222","interneurons"
"223","interneurons"
"224","interneurons"
"225","interneurons"
"226","interneurons"
"227","interneurons"
"228","interneurons"
"229","interneurons"
"230","interneurons"
"231","interneurons"
"232","interneurons"
"233","interneurons"
"234","interneurons"
"235","interneurons"
"236","interneurons"
"237","interneurons"
"238","interneurons"
"239","interneurons"
"240","interneurons"
"241","interneurons"
"242","interneurons"
"243","interneurons"
"244","interneurons"
"245","interneurons"
"246","interneurons"
"247","interneurons"
"248","interneurons"
"249","interneurons"
"250","interneurons"
"251","interneurons"
"252","interneurons"
"253","interneurons"
"254","interneurons"
"255","interneurons"
"256","interneurons"
"257","interneurons"
"258","interneurons"
"259","interneurons"
"260","interneurons"
"261","interneurons"
"262","interneurons"
"263","interneurons"
"264","interneurons"
"265","interneurons"
"266","interneurons"
"267","interneurons"
"268","interneurons"
"269","interneurons"
"270","interneurons"
"271","interneurons"
"272","interneurons"
"273","interneurons"
"274","interneurons"
"275","interneurons"
"276","interneurons"
"277","interneurons"
"278","interneurons"
"279","interneurons"
"280","interneurons"
"281","interneurons"
"282","interneurons"
"283","interneurons"
"284","interneurons"
"285","interneurons"
"286","interneurons"
"287","interneurons"
"288","interneurons"
"289","interneurons"
"290","interneurons"
"291","pyramidal SS"
"292","pyramidal SS"
"293","pyramidal SS"
"294","pyramidal SS"
"295","pyramidal SS"
"296","pyramidal SS"
"297","pyramidal SS"
"298","pyramidal SS"
"299","pyramidal SS"
"300","pyramidal SS"
"301","pyramidal SS"
"302","pyramidal SS"
"303","pyramidal SS"
"304","pyramidal SS"
"305","pyramidal SS"
"306","pyramidal SS"
"307","pyramidal SS"
"308","pyramidal SS"
"309","pyramidal SS"
"310","pyramidal SS"
"311","pyramidal SS"
"312","pyramidal SS"
"313","pyramidal SS"
"314","pyramidal SS"
"315","pyramidal SS"
"316","pyramidal SS"
"317","pyramidal SS"
"318","pyramidal SS"
"319","pyramidal SS"
"320","pyramidal SS"
"321","pyramidal SS"
"322","pyramidal SS"
"323","pyramidal SS"
"324","pyramidal SS"
"325","pyramidal SS"
"326","pyramidal SS"
"327","pyramidal SS"
"328","pyramidal SS"
"329","pyramidal SS"
"330","pyramidal SS"
"331","pyramidal SS"
"332","pyramidal SS"
"333","pyramidal SS"
"334","pyramidal SS"
"335","pyramidal SS"
"336","pyramidal SS"
"337","pyramidal SS"
"338","pyramidal SS"
"339","pyramidal SS"
"340","pyramidal SS"
"341","pyramidal SS"
"342","pyramidal SS"
"343","pyramidal SS"
"344","pyramidal SS"
"345","pyramidal SS"
"346","pyramidal SS"
"347","pyramidal SS"
"348","pyramidal SS"
"349","pyramidal SS"
"350","pyramidal SS"
"351","pyramidal SS"
"352","pyramidal SS"
"353","pyramidal SS"
"354","pyramidal SS"
"355","pyramidal SS"
"356","pyramidal SS"
"357","pyramidal SS"
"358","pyramidal SS"
"359","pyramidal SS"
"360","pyramidal SS"
"361","pyramidal SS"
"362","pyramidal SS"
"363","pyramidal SS"
"364","pyramidal SS"
"365","pyramidal SS"
"366","pyramidal SS"
"367","pyramidal SS"
"368","pyramidal SS"
"369","pyramidal SS"
"370","pyramidal SS"
"371","pyramidal SS"
"372","pyramidal SS"
"373","pyramidal SS"
"374","pyramidal SS"
"375","pyramidal SS"
"376","pyramidal SS"
"377","pyramidal SS"
"378","pyramidal SS"
"379","pyramidal SS"
"380","pyramidal SS"
"381","pyramidal SS"
"382","pyramidal SS"
"383","pyramidal SS"
"384","pyramidal SS"
"385","pyramidal SS"
"386","pyramidal SS"
"387","pyramidal SS"
"388","pyramidal SS"
"389","pyramidal SS"
"390","pyramidal SS"
"391","pyramidal SS"
"392","pyramidal SS"
"393","pyramidal SS"
"394","pyramidal SS"
"395","pyramidal SS"
"396","pyramidal SS"
"397","pyramidal SS"
"398","pyramidal SS"
"399","pyramidal SS"
"400","pyramidal SS"
"401","pyramidal SS"
"402","pyramidal SS"
"403","pyramidal SS"
"404","pyramidal SS"
"405","pyramidal SS"
"406","pyramidal SS"
"407","pyramidal SS"
"408","pyramidal SS"
"409","pyramidal SS"
"410","pyramidal SS"
"411","pyramidal SS"
"412","pyramidal SS"
"413","pyramidal SS"
"414","pyramidal SS"
"415","pyramidal SS"
"416","pyramidal SS"
"417","pyramidal SS"
"418","pyramidal SS"
"419","pyramidal SS"
"420","pyramidal SS"
"421","pyramidal SS"
"422","pyramidal SS"
"423","pyramidal SS"
"424","pyramidal SS"
"425","pyramidal SS"
"426","pyramidal SS"
"427","pyramidal SS"
"428","pyramidal SS"
"429","pyramidal SS"
"430","pyramidal SS"
"431","pyramidal SS"
"432","pyramidal SS"
"433","pyramidal SS"
"434","pyramidal SS"
"435","pyramidal SS"
"436","pyramidal SS"
"437","pyramidal SS"
"438","pyramidal SS"
"439","pyramidal SS"
"440","pyramidal SS"
"441","pyramidal SS"
"442","pyramidal SS"
"443","pyramidal SS"
"444","pyramidal SS"
"445","pyramidal SS"
"446","pyramidal SS"
"447","pyramidal SS"
"448","pyramidal SS"
"449","pyramidal SS"
"450","pyramidal SS"
"451","pyramidal SS"
"452","pyramidal SS"
"453","pyramidal SS"
"454","pyramidal SS"
"455","pyramidal SS"
"456","pyramidal SS"
"457","pyramidal SS"
"458","pyramidal SS"
"459","pyramidal SS"
"460","pyramidal SS"
"461","pyramidal SS"
"462","pyramidal SS"
"463","pyramidal SS"
"464","pyramidal SS"
"465","pyramidal SS"
"466","pyramidal SS"
"467","pyramidal SS"
"468","pyramidal SS"
"469","pyramidal CA1"
"470","pyramidal SS"
"471","pyramidal SS"
"472","pyramidal CA1"
"473","pyramidal SS"
"474","pyramidal SS"
"475","pyramidal CA1"
"476","pyramidal SS"
"477","pyramidal CA1"
"478","pyramidal SS"
"479","pyramidal SS"
"480","pyramidal CA1"
"481","pyramidal CA1"
"482","pyramidal CA1"
"483","pyramidal CA1"
"484","pyramidal CA1"
"485","pyramidal CA1"
"486","pyramidal CA1"
"487","pyramidal CA1"
"488","pyramidal CA1"
"489","pyramidal CA1"
"490","pyramidal CA1"
"491","pyramidal CA1"
"492","pyramidal CA1"
"493","pyramidal CA1"
"494","pyramidal SS"
"495","pyramidal SS"
"496","pyramidal SS"
"497","pyramidal SS"
"498","pyramidal SS"
"499","pyramidal SS"
"500","pyramidal SS"
"501","pyramidal SS"
"502","pyramidal SS"
"503","pyramidal SS"
"504","pyramidal SS"
"505","pyramidal SS"
"506","pyramidal SS"
"507","pyramidal SS"
"508","pyramidal SS"
"509","pyramidal SS"
"510","pyramidal SS"
"511","pyramidal SS"
"512","pyramidal SS"
"513","pyramidal SS"
"514","pyramidal SS"
"515","pyramidal SS"
"516","pyramidal SS"
"517","pyramidal SS"
"518","pyramidal SS"
"519","pyramidal SS"
"520","pyramidal SS"
"521","pyramidal SS"
"522","pyramidal SS"
"523","pyramidal SS"
"524","pyramidal SS"
"525","pyramidal SS"
"526","pyramidal SS"
"527","pyramidal CA1"
"528","pyramidal SS"
"529","pyramidal SS"
"530","pyramidal SS"
"531","pyramidal SS"
"532","pyramidal SS"
"533","pyramidal SS"
"534","pyramidal SS"
"535","pyramidal SS"
"536","pyramidal SS"
"537","pyramidal SS"
"538","pyramidal SS"
"539","pyramidal SS"
"540","pyramidal SS"
"541","pyramidal SS"
"542","pyramidal SS"
"543","pyramidal SS"
"544","pyramidal SS"
"545","pyramidal SS"
"546","pyramidal SS"
"547","pyramidal SS"
"548","pyramidal SS"
"549","pyramidal SS"
"550","pyramidal SS"
"551","pyramidal SS"
"552","pyramidal SS"
"553","pyramidal SS"
"554","pyramidal SS"
"555","pyramidal SS"
"556","pyramidal SS"
"557","pyramidal SS"
"558","pyramidal SS"
"559","pyramidal SS"
"560","pyramidal SS"
"561","pyramidal SS"
"562","pyramidal SS"
"563","pyramidal SS"
"564","pyramidal SS"
"565","pyramidal SS"
"566","pyramidal SS"
"567","pyramidal SS"
"568","pyramidal SS"
"569","pyramidal SS"
"570","pyramidal SS"
"571","pyramidal SS"
"572","pyramidal SS"
"573","pyramidal SS"
"574","pyramidal SS"
"575","pyramidal SS"
"576","pyramidal SS"
"577","pyramidal SS"
"578","pyramidal SS"
"579","pyramidal SS"
"580","pyramidal SS"
"581","pyramidal SS"
"582","pyramidal SS"
"583","pyramidal SS"
"584","pyramidal SS"
"585","pyramidal SS"
"586","pyramidal SS"
"587","pyramidal SS"
"588","pyramidal SS"
"589","pyramidal SS"
"590","pyramidal SS"
"591","pyramidal SS"
"592","pyramidal SS"
"593","pyramidal SS"
"594","pyramidal SS"
"595","pyramidal SS"
"596","pyramidal SS"
"597","pyramidal SS"
"598","pyramidal SS"
"599","pyramidal SS"
"600","pyramidal SS"
"601","pyramidal SS"
"602","pyramidal SS"
"603","pyramidal SS"
"604","pyramidal SS"
"605","pyramidal SS"
"606","pyramidal SS"
"607","pyramidal SS"
"608","pyramidal SS"
"609","pyramidal SS"
"610","pyramidal SS"
"611","pyramidal SS"
"612","pyramidal SS"
"613","pyramidal SS"
"614","pyramidal SS"
"615","pyramidal SS"
"616","pyramidal SS"
"617","pyramidal SS"
"618","pyramidal SS"
"619","pyramidal SS"
"620","pyramidal SS"
"621","pyramidal SS"
"622","pyramidal SS"
"623","pyramidal SS"
"624","pyramidal SS"
"625","pyramidal SS"
"626","pyramidal SS"
"627","pyramidal SS"
"628","pyramidal SS"
"629","pyramidal SS"
"630","pyramidal SS"
"631","pyramidal SS"
"632","pyramidal SS"
"633","pyramidal SS"
"634","pyramidal SS"
"635","pyramidal SS"
"636","pyramidal SS"
"637","pyramidal SS"
"638","pyramidal SS"
"639","pyramidal SS"
"640","pyramidal CA1"
"641","pyramidal SS"
"642","pyramidal SS"
"643","pyramidal SS"
"644","pyramidal SS"
"645","pyramidal SS"
"646","pyramidal SS"
"647","pyramidal SS"
"648","pyramidal SS"
"649","pyramidal SS"
"650","pyramidal SS"
"651","pyramidal SS"
"652","pyramidal SS"
"653","pyramidal SS"
"654","pyramidal SS"
"655","pyramidal SS"
"656","pyramidal SS"
"657","pyramidal SS"
"658","pyramidal SS"
"659","pyramidal SS"
"660","pyramidal SS"
"661","pyramidal SS"
"662","pyramidal SS"
"663","pyramidal SS"
"664","pyramidal SS"
"665","pyramidal SS"
"666","pyramidal SS"
"667","pyramidal SS"
"668","pyramidal SS"
"669","pyramidal SS"
"670","pyramidal SS"
"671","pyramidal SS"
"672","pyramidal SS"
"673","pyramidal SS"
"674","pyramidal SS"
"675","pyramidal SS"
"676","pyramidal SS"
"677","pyramidal SS"
"678","pyramidal SS"
"679","pyramidal CA1"
"680","pyramidal CA1"
"681","pyramidal CA1"
"682","pyramidal CA1"
"683","pyramidal CA1"
"684","pyramidal CA1"
"685","pyramidal SS"
"686","pyramidal CA1"
"687","pyramidal CA1"
"688","pyramidal CA1"
"689","pyramidal CA1"
"690","pyramidal CA1"
"691","pyramidal CA1"
"692","pyramidal CA1"
"693","pyramidal CA1"
"694","pyramidal CA1"
"695","pyramidal CA1"
"696","pyramidal CA1"
"697","pyramidal CA1"
"698","pyramidal CA1"
"699","pyramidal CA1"
"700","pyramidal CA1"
"701","pyramidal CA1"
"702","pyramidal CA1"
"703","pyramidal CA1"
"704","pyramidal CA1"
"705","pyramidal CA1"
"706","pyramidal CA1"
"707","pyramidal CA1"
"708","pyramidal CA1"
"709","pyramidal SS"
"710","pyramidal SS"
"711","pyramidal SS"
"712","pyramidal CA1"
"713","pyramidal CA1"
"714","pyramidal CA1"
"715","pyramidal CA1"
"716","pyramidal CA1"
"717","pyramidal CA1"
"718","pyramidal SS"
"719","pyramidal CA1"
"720","pyramidal SS"
"721","pyramidal CA1"
"722","pyramidal CA1"
"723","pyramidal SS"
"724","pyramidal CA1"
"725","pyramidal CA1"
"726","pyramidal SS"
"727","pyramidal SS"
"728","pyramidal SS"
"729","pyramidal SS"
"730","pyramidal SS"
"731","pyramidal SS"
"732","pyramidal SS"
"733","pyramidal CA1"
"734","pyramidal SS"
"735","pyramidal SS"
"736","pyramidal SS"
"737","pyramidal CA1"
"738","pyramidal SS"
"739","pyramidal SS"
"740","pyramidal SS"
"741","pyramidal SS"
"742","pyramidal SS"
"743","pyramidal SS"
"744","pyramidal CA1"
"745","pyramidal CA1"
"746","pyramidal CA1"
"747","pyramidal CA1"
"748","pyramidal CA1"
"749","pyramidal CA1"
"750","pyramidal CA1"
"751","pyramidal CA1"
"752","pyramidal CA1"
"753","pyramidal CA1"
"754","pyramidal CA1"
"755","pyramidal CA1"
"756","pyramidal CA1"
"757","pyramidal CA1"
"758","pyramidal CA1"
"759","pyramidal CA1"
"760","pyramidal CA1"
"761","pyramidal CA1"
"762","pyramidal CA1"
"763","pyramidal CA1"
"764","pyramidal CA1"
"765","pyramidal CA1"
"766","pyramidal CA1"
"767","pyramidal CA1"
"768","pyramidal CA1"
"769","pyramidal CA1"
"770","pyramidal CA1"
"771","pyramidal CA1"
"772","pyramidal CA1"
"773","pyramidal CA1"
"774","pyramidal CA1"
"775","pyramidal CA1"
"776","pyramidal CA1"
"777","pyramidal CA1"
"778","pyramidal CA1"
"779","pyramidal CA1"
"780","pyramidal CA1"
"781","pyramidal CA1"
"782","pyramidal CA1"
"783","pyramidal CA1"
"784","pyramidal CA1"
"785","pyramidal CA1"
"786","pyramidal CA1"
"787","pyramidal CA1"
"788","pyramidal CA1"
"789","pyramidal CA1"
"790","pyramidal CA1"
"791","pyramidal CA1"
"792","pyramidal CA1"
"793","pyramidal CA1"
"794","pyramidal CA1"
"795","pyramidal CA1"
"796","pyramidal CA1"
"797","pyramidal CA1"
"798","pyramidal CA1"
"799","pyramidal CA1"
"800","pyramidal CA1"
"801","pyramidal CA1"
"802","pyramidal CA1"
"803","pyramidal CA1"
"804","pyramidal CA1"
"805","pyramidal CA1"
"806","pyramidal CA1"
"807","pyramidal CA1"
"808","pyramidal CA1"
"809","pyramidal CA1"
"810","pyramidal CA1"
"811","pyramidal CA1"
"812","pyramidal CA1"
"813","pyramidal CA1"
"814","pyramidal CA1"
"815","pyramidal CA1"
"816","pyramidal CA1"
"817","pyramidal CA1"
"818","pyramidal CA1"
"819","pyramidal CA1"
"820","pyramidal CA1"
"821","pyramidal CA1"
"822","pyramidal CA1"
"823","pyramidal CA1"
"824","pyramidal CA1"
"825","pyramidal CA1"
"826","pyramidal CA1"
"827","pyramidal CA1"
"828","pyramidal CA1"
"829","pyramidal CA1"
"830","pyramidal CA1"
"831","pyramidal CA1"
"832","pyramidal CA1"
"833","pyramidal CA1"
"834","pyramidal CA1"
"835","pyramidal CA1"
"836","pyramidal CA1"
"837","pyramidal CA1"
"838","pyramidal CA1"
"839","pyramidal CA1"
"840","pyramidal CA1"
"841","pyramidal CA1"
"842","pyramidal SS"
"843","pyramidal CA1"
"844","pyramidal CA1"
"845","pyramidal CA1"
"846","pyramidal CA1"
"847","pyramidal CA1"
"848","pyramidal CA1"
"849","pyramidal CA1"
"850","pyramidal CA1"
"851","pyramidal CA1"
"852","pyramidal CA1"
"853","pyramidal CA1"
"854","pyramidal CA1"
"855","pyramidal CA1"
"856","pyramidal CA1"
"857","pyramidal CA1"
"858","pyramidal CA1"
"859","pyramidal CA1"
"860","pyramidal CA1"
"861","pyramidal CA1"
"862","pyramidal CA1"
"863","pyramidal CA1"
"864","pyramidal CA1"
"865","pyramidal CA1"
"866","pyramidal CA1"
"867","pyramidal CA1"
"868","pyramidal CA1"
"869","pyramidal CA1"
"870","pyramidal CA1"
"871","pyramidal CA1"
"872","pyramidal CA1"
"873","pyramidal CA1"
"874","pyramidal CA1"
"875","pyramidal CA1"
"876","pyramidal CA1"
"877","pyramidal CA1"
"878","pyramidal CA1"
"879","pyramidal CA1"
"880","pyramidal CA1"
"881","pyramidal CA1"
"882","pyramidal CA1"
"883","pyramidal CA1"
"884","pyramidal CA1"
"885","pyramidal CA1"
"886","pyramidal CA1"
"887","pyramidal CA1"
"888","pyramidal CA1"
"889","pyramidal CA1"
"890","pyramidal CA1"
"891","pyramidal CA1"
"892","pyramidal CA1"
"893","pyramidal CA1"
"894","pyramidal CA1"
"895","pyramidal CA1"
"896","pyramidal CA1"
"897","pyramidal CA1"
"898","pyramidal CA1"
"899","pyramidal CA1"
"900","pyramidal CA1"
"901","pyramidal CA1"
"902","pyramidal CA1"
"903","pyramidal CA1"
"904","pyramidal CA1"
"905","pyramidal CA1"
"906","pyramidal CA1"
"907","pyramidal CA1"
"908","pyramidal CA1"
"909","pyramidal CA1"
"910","pyramidal CA1"
"911","pyramidal CA1"
"912","pyramidal CA1"
"913","pyramidal CA1"
"914","pyramidal CA1"
"915","pyramidal CA1"
"916","pyramidal CA1"
"917","pyramidal CA1"
"918","pyramidal CA1"
"919","pyramidal CA1"
"920","pyramidal CA1"
"921","pyramidal CA1"
"922","pyramidal CA1"
"923","pyramidal CA1"
"924","pyramidal CA1"
"925","pyramidal CA1"
"926","pyramidal CA1"
"927","pyramidal CA1"
"928","pyramidal CA1"
"929","pyramidal CA1"
"930","pyramidal CA1"
"931","pyramidal CA1"
"932","pyramidal CA1"
"933","pyramidal CA1"
"934","pyramidal CA1"
"935","pyramidal CA1"
"936","pyramidal CA1"
"937","pyramidal CA1"
"938","pyramidal CA1"
"939","pyramidal CA1"
"940","pyramidal CA1"
"941","pyramidal CA1"
"942","pyramidal CA1"
"943","pyramidal CA1"
"944","pyramidal CA1"
"945","pyramidal CA1"
"946","pyramidal CA1"
"947","pyramidal CA1"
"948","pyramidal CA1"
"949","pyramidal CA1"
"950","pyramidal CA1"
"951","pyramidal CA1"
"952","pyramidal CA1"
"953","pyramidal CA1"
"954","pyramidal CA1"
"955","pyramidal CA1"
"956","pyramidal CA1"
"957","pyramidal CA1"
"958","pyramidal CA1"
"959","pyramidal CA1"
"960","pyramidal CA1"
"961","pyramidal CA1"
"962","pyramidal CA1"
"963","pyramidal CA1"
"964","pyramidal CA1"
"965","pyramidal CA1"
"966","pyramidal CA1"
"967","pyramidal CA1"
"968","pyramidal CA1"
"969","pyramidal CA1"
"970","pyramidal CA1"
"971","pyramidal CA1"
"972","pyramidal CA1"
"973","pyramidal CA1"
"974","pyramidal CA1"
"975","pyramidal CA1"
"976","pyramidal CA1"
"977","pyramidal CA1"
"978","pyramidal CA1"
"979","pyramidal CA1"
"980","pyramidal CA1"
"981","pyramidal CA1"
"982","pyramidal CA1"
"983","pyramidal CA1"
"984","pyramidal CA1"
"985","pyramidal CA1"
"986","pyramidal CA1"
"987","pyramidal CA1"
"988","pyramidal CA1"
"989","pyramidal CA1"
"990","pyramidal CA1"
"991","pyramidal CA1"
"992","pyramidal CA1"
"993","pyramidal CA1"
"994","pyramidal CA1"
"995","pyramidal CA1"
"996","pyramidal CA1"
"997","pyramidal CA1"
"998","pyramidal CA1"
"999","pyramidal CA1"
"1000","pyramidal CA1"
"1001","pyramidal CA1"
"1002","pyramidal CA1"
"1003","pyramidal CA1"
"1004","pyramidal CA1"
"1005","pyramidal CA1"
"1006","pyramidal CA1"
"1007","pyramidal CA1"
"1008","pyramidal CA1"
"1009","pyramidal CA1"
"1010","pyramidal CA1"
"1011","pyramidal CA1"
"1012","pyramidal CA1"
"1013","pyramidal CA1"
"1014","pyramidal CA1"
"1015","pyramidal CA1"
"1016","pyramidal CA1"
"1017","pyramidal CA1"
"1018","pyramidal CA1"
"1019","pyramidal CA1"
"1020","pyramidal CA1"
"1021","pyramidal CA1"
"1022","pyramidal CA1"
"1023","pyramidal CA1"
"1024","pyramidal CA1"
"1025","pyramidal CA1"
"1026","pyramidal CA1"
"1027","pyramidal CA1"
"1028","pyramidal CA1"
"1029","pyramidal CA1"
"1030","pyramidal CA1"
"1031","pyramidal CA1"
"1032","pyramidal CA1"
"1033","pyramidal CA1"
"1034","pyramidal CA1"
"1035","pyramidal CA1"
"1036","pyramidal CA1"
"1037","pyramidal CA1"
"1038","pyramidal CA1"
"1039","pyramidal CA1"
"1040","pyramidal CA1"
"1041","pyramidal CA1"
"1042","pyramidal CA1"
"1043","pyramidal CA1"
"1044","pyramidal CA1"
"1045","pyramidal CA1"
"1046","pyramidal CA1"
